t_s,cmd_vel_linear_x
17.690,0.0000
17.742,0.0000
17.793,0.0000
17.839,0.0000
17.895,0.0000
17.945,0.0000
17.991,0.0000
18.043,0.0000
18.099,0.0000
18.141,0.0000
18.193,0.0000
18.239,0.0000
18.289,0.0000
18.339,0.0000
18.389,0.0000
18.439,0.0000
18.492,0.0000
18.539,0.0000
18.591,0.0000
18.639,0.0000
18.689,0.0000
18.740,0.0000
18.789,0.0000
18.839,0.0000
18.889,0.0000
18.939,0.0000
18.989,0.0000
19.040,0.0000
19.089,0.0000
19.140,0.0000
19.189,0.0000
19.240,0.0000
19.292,0.0000
19.339,0.0000
19.390,0.0000
19.439,0.0000
19.493,0.0000
19.539,0.0000
19.589,0.0000
19.639,0.0000
19.690,0.0000
19.739,0.0000
19.789,0.0000
19.839,0.0000
19.890,0.0000
19.939,0.0000
19.989,0.0000
20.040,0.0000
20.090,0.0000
20.139,0.0000
20.191,0.0000
20.240,0.0000
20.291,0.0000
20.340,0.0000
20.390,0.0000
20.443,0.0000
20.489,0.0000
20.539,0.0000
20.590,0.0000
20.640,0.0000
20.689,0.0000
20.741,0.0000
20.789,0.0000
20.839,0.0000
20.889,0.0000
20.940,0.0000
20.989,0.0000
21.039,0.0000
21.090,0.0000
21.139,0.0000
21.189,0.0000
21.239,0.0000
21.289,0.0000
21.340,0.0000
21.390,0.0000
21.439,0.0000
21.489,0.0000
21.539,0.0000
21.589,0.0000
21.640,0.0000
21.692,0.0000
21.739,0.0000
21.794,0.0000
21.839,0.0000
21.889,0.0000
21.939,0.0000
21.990,0.0000
22.039,0.0000
22.090,0.0000
22.139,0.0000
22.193,0.0000
22.239,0.0000
22.290,0.0000
22.340,0.0000
22.389,0.0000
22.440,0.0000
22.490,0.0000
22.541,0.0000
22.589,0.0000
22.639,0.0000
22.689,0.0000
22.740,0.0000
22.789,0.0000
22.839,0.0000
22.890,0.0000
22.942,0.0000
22.990,0.0000
23.040,0.0000
23.094,0.0000
23.142,0.0000
23.189,0.0000
23.240,0.0000
23.289,0.0000
23.341,0.0000
23.390,0.0000
23.439,0.0000
23.495,0.0000
23.539,0.0000
23.589,0.0000
23.640,0.0000
23.691,0.0000
23.741,0.0000
23.789,0.0000
23.841,0.0000
23.889,0.0000
23.941,0.0000
23.993,0.0000
24.042,0.0000
24.089,0.0000
24.141,0.0000
24.190,0.0000
24.239,0.0000
24.291,0.0000
24.345,0.0000
24.390,0.0000
24.441,0.0000
24.491,0.0000
24.539,0.0000
24.591,0.0000
24.639,0.0000
24.689,0.0000
24.740,0.0000
24.790,0.0000
24.840,0.0000
24.891,0.0000
24.943,0.0000
24.990,0.0000
25.040,0.0000
25.090,0.0000
25.139,0.0000
25.189,0.0000
25.242,0.0000
25.290,0.0000
25.340,0.0000
25.390,0.0000
25.443,0.0000
25.491,0.0000
25.539,0.0000
25.589,0.0000
25.640,0.0000
25.689,0.0000
25.740,0.0000
25.789,0.0000
25.839,0.0000
25.890,0.0000
25.939,0.0000
25.990,0.0000
26.040,0.0000
26.090,0.0000
26.139,0.0000
26.190,0.0000
26.241,0.0000
26.292,0.0000
26.341,0.0000
26.389,0.0000
26.443,0.0000
26.489,0.0000
26.541,0.0000
26.590,0.0000
26.640,0.0000
26.691,0.0000
26.741,0.0000
26.789,0.0000
26.840,0.0000
26.893,0.0000
26.940,0.0000
26.992,0.0000
27.042,0.0000
27.090,0.0000
27.140,0.0000
27.190,0.0000
27.240,0.0000
27.290,0.0000
27.340,0.0000
27.389,0.0000
27.441,0.0000
27.490,0.0000
27.540,0.0000
27.591,0.0000
27.641,0.0000
27.690,0.0000
27.741,0.0000
27.789,0.0000
27.842,0.0000
27.890,0.0000
27.939,0.0000
27.989,0.0000
28.042,0.0000
28.089,0.0000
28.141,0.0000
28.189,0.0000
28.240,0.0000
28.291,0.0000
28.341,0.0000
28.390,0.0000
28.441,0.0000
28.490,0.0000
28.540,0.0000
28.590,0.0000
28.640,0.0000
28.690,0.0000
28.739,0.0000
28.790,0.0000
28.841,0.0000
28.893,0.0000
28.939,0.0000
28.991,0.0000
29.039,0.0000
29.090,0.0000
29.140,0.0000
29.190,0.0000
29.239,0.0000
29.289,0.0000
29.339,0.0000
29.389,0.0000
29.439,0.0000
29.489,0.0000
29.539,0.0000
29.589,0.0000
29.642,0.0000
29.689,0.0000
29.741,0.0000
29.790,0.0000
29.839,0.0000
29.889,0.0000
29.939,0.0000
29.989,0.0000
30.039,0.0000
30.089,0.0000
30.139,0.0000
30.192,0.0000
30.240,0.0000
30.289,0.0000
30.340,0.0000
30.390,0.0000
30.440,0.0000
30.493,0.0000
30.541,0.0000
30.589,0.0000
30.640,0.0000
30.690,0.0000
30.741,0.0000
30.791,0.0000
30.840,0.0000
30.891,0.0000
30.942,0.0000
30.990,0.0000
31.041,0.0000
